Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,69.669998,69.669998,69.669998,69.669998,66.272003,0
2020-07-27,70.050003,70.050003,70.050003,70.050003,66.633469,0
2020-07-28,69.459999,69.459999,69.459999,69.459999,66.072243,0
2020-07-29,70.680000,70.680000,70.680000,70.680000,67.232750,0
2020-07-30,70.029999,70.029999,70.029999,70.029999,66.614456,0
2020-07-31,69.720001,69.720001,69.720001,69.720001,66.319557,0
2020-08-03,70.199997,70.199997,70.199997,70.199997,66.776161,0
2020-08-04,70.440002,70.440002,70.440002,70.440002,67.004448,0
2020-08-05,71.839996,71.839996,71.839996,71.839996,68.336151,0
2020-08-06,72.029999,72.029999,72.029999,72.029999,68.516907,0
2020-08-07,73.169998,73.169998,73.169998,73.169998,69.601295,0
2020-08-10,74.769997,74.769997,74.769997,74.769997,71.123245,0
2020-08-11,75.120003,75.120003,75.120003,75.120003,71.456200,0
2020-08-12,75.419998,75.419998,75.419998,75.419998,71.741554,0
2020-08-13,75.029999,75.029999,75.029999,75.029999,71.370583,0
2020-08-14,75.220001,75.220001,75.220001,75.220001,71.551331,0
2020-08-17,74.889999,74.889999,74.889999,74.889999,71.237404,0
2020-08-18,74.440002,74.440002,74.440002,74.440002,70.809349,0
2020-08-19,74.269997,74.269997,74.269997,74.269997,70.647636,0
2020-08-20,73.940002,73.940002,73.940002,73.940002,70.333748,0
2020-08-21,74.099998,74.099998,74.099998,74.099998,70.485947,0
2020-08-24,75.400002,75.400002,75.400002,75.400002,71.722534,0
2020-08-25,75.309998,75.309998,75.309998,75.309998,71.636917,0
2020-08-26,75.330002,75.330002,75.330002,75.330002,71.655952,0
2020-08-27,75.620003,75.620003,75.620003,75.620003,71.931808,0
2020-08-28,76.360001,76.360001,76.360001,76.360001,72.635719,0
2020-08-31,75.459999,75.459999,75.459999,75.459999,71.779610,0
2020-09-01,76.279999,76.279999,76.279999,76.279999,72.559616,0
2020-09-02,77.430000,77.430000,77.430000,77.430000,73.653519,0
2020-09-03,75.180000,75.180000,75.180000,75.180000,71.513260,0
2020-09-04,75.239998,75.239998,75.239998,75.239998,71.570335,0
2020-09-08,73.820000,73.820000,73.820000,73.820000,70.219597,0
2020-09-09,74.970001,74.970001,74.970001,74.970001,71.313515,0
2020-09-10,73.750000,73.750000,73.750000,73.750000,70.419785,0
2020-09-11,74.599998,74.599998,74.599998,74.599998,71.231392,0
2020-09-14,75.639999,75.639999,75.639999,75.639999,72.224434,0
2020-09-15,75.720001,75.720001,75.720001,75.720001,72.300804,0
2020-09-16,76.449997,76.449997,76.449997,76.449997,72.997856,0
2020-09-17,76.559998,76.559998,76.559998,76.559998,73.102875,0
2020-09-18,75.739998,75.739998,75.739998,75.739998,72.319923,0
2020-09-21,73.199997,73.199997,73.199997,73.199997,69.894608,0
2020-09-22,73.900002,73.900002,73.900002,73.900002,70.562996,0
2020-09-23,72.519997,72.519997,72.519997,72.519997,69.245300,0
2020-09-24,72.599998,72.599998,72.599998,72.599998,69.321701,0
2020-09-25,73.660004,73.660004,73.660004,73.660004,70.333832,0
2020-09-28,75.129997,75.129997,75.129997,75.129997,71.737465,0
2020-09-29,74.550003,74.550003,74.550003,74.550003,71.183655,0
2020-09-30,74.449997,74.449997,74.449997,74.449997,71.088165,0
2020-10-01,74.440002,74.440002,74.440002,74.440002,71.078613,0
2020-10-02,75.209999,75.209999,75.209999,75.209999,71.813835,0
2020-10-05,76.489998,76.489998,76.489998,76.489998,73.036049,0
2020-10-06,75.730003,75.730003,75.730003,75.730003,72.310379,0
2020-10-07,77.349998,77.349998,77.349998,77.349998,73.857216,0
2020-10-08,78.029999,78.029999,78.029999,78.029999,74.506508,0
2020-10-09,78.349998,78.349998,78.349998,78.349998,74.812057,0
2020-10-12,78.779999,78.779999,78.779999,78.779999,75.222641,0
2020-10-13,77.940002,77.940002,77.940002,77.940002,74.420570,0
2020-10-14,78.230003,78.230003,78.230003,78.230003,74.697472,0
2020-10-15,78.559998,78.559998,78.559998,78.559998,75.012558,0
2020-10-16,78.919998,78.919998,78.919998,78.919998,75.356308,0
2020-10-19,77.949997,77.949997,77.949997,77.949997,74.430107,0
2020-10-20,78.419998,78.419998,78.419998,78.419998,74.878891,0
2020-10-21,77.599998,77.599998,77.599998,77.599998,74.095924,0
2020-10-22,78.250000,78.250000,78.250000,78.250000,74.716576,0
2020-10-23,78.620003,78.620003,78.620003,78.620003,75.069870,0
2020-10-26,76.690002,76.690002,76.690002,76.690002,73.227020,0
2020-10-27,75.089996,75.089996,75.089996,75.089996,71.699265,0
2020-10-28,72.760002,72.760002,72.760002,72.760002,69.474480,0
2020-10-29,73.720001,73.720001,73.720001,73.720001,70.391136,0
2020-10-30,73.559998,73.559998,73.559998,73.559998,70.238342,0
2020-11-02,75.599998,75.599998,75.599998,75.599998,72.186218,0
2020-11-03,77.750000,77.750000,77.750000,77.750000,74.239166,0
2020-11-04,77.190002,77.190002,77.190002,77.190002,73.704460,0
2020-11-05,79.120003,79.120003,79.120003,79.120003,75.547279,0
2020-11-06,79.199997,79.199997,79.199997,79.199997,75.623672,0
2020-11-09,81.910004,81.910004,81.910004,81.910004,78.211296,0
2020-11-10,83.320000,83.320000,83.320000,83.320000,79.557632,0
2020-11-11,82.690002,82.690002,82.690002,82.690002,78.956078,0
2020-11-12,81.750000,81.750000,81.750000,81.750000,78.058510,0
2020-11-13,83.519997,83.519997,83.519997,83.519997,79.748589,0
2020-11-16,85.660004,85.660004,85.660004,85.660004,81.791969,0
2020-11-17,85.440002,85.440002,85.440002,85.440002,81.581909,0
2020-11-18,85.029999,85.029999,85.029999,85.029999,81.190414,0
2020-11-19,85.330002,85.330002,85.330002,85.330002,81.476860,0
2020-11-20,84.620003,84.620003,84.620003,84.620003,80.798927,0
2020-11-23,86.070000,86.070000,86.070000,86.070000,82.183441,0
2020-11-24,87.599998,87.599998,87.599998,87.599998,83.644363,0
2020-11-25,86.910004,86.910004,86.910004,86.910004,82.985527,0
2020-11-27,86.790001,86.790001,86.790001,86.790001,82.870926,0
2020-11-30,85.820000,85.820000,85.820000,85.820000,81.944748,0
2020-12-01,85.809998,85.809998,85.809998,85.809998,81.935196,0
2020-12-02,85.879997,85.879997,85.879997,85.879997,82.002037,0
2020-12-03,86.129997,86.129997,86.129997,86.129997,82.240738,0
2020-12-04,87.379997,87.379997,87.379997,87.379997,83.434296,0
2020-12-07,86.989998,86.989998,86.989998,86.989998,83.061897,0
2020-12-08,87.489998,87.489998,87.489998,87.489998,83.539314,0
2020-12-09,87.589996,87.589996,87.589996,87.589996,83.634796,0
2020-12-10,86.940002,86.940002,86.940002,86.940002,83.014175,0
2020-12-11,87.050003,87.050003,87.050003,87.050003,83.119194,0
